鄉鎮市區碼(新),醫院家數,病床總計,一般病床小計,特殊病床小計,精神病床小計,急性病床小計,慢性病床小計,急性一般病床,精神急性一般病床,慢性一般病床,精神慢性一般病床,慢性結核病床, 漢生病病床,國際醫療病床,加護病床,燒傷病床,燒傷加護病床,嬰兒病床,急診觀察病床,其他,安寧病床,慢性呼吸照護病床,亞急性呼吸照護病床,急性結核病床,精神科加護病床,普通隔離病床,正壓隔離病床,負壓隔離病床,骨髓移植病床,性侵害犯罪加害人強制治療病床,手術恢復床,嬰兒床,血液透析床,腹膜透析床,產科病床
4502,1,246,85,45,116,111,90,85,26,0,90,0,0,0,8,0,0,0,6,0,0,20,0,0,0,0,0,10,0,0,1,0,0,0,0
4503,3,1608,167,57,1384,355,1196,167,188,0,1196,0,0,0,9,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,1,6,26,0,0
4504,1,390,177,72,139,266,52,177,89,0,50,2,0,0,12,2,0,3,8,0,0,24,0,0,0,0,0,0,0,0,4,4,15,0,0
4506,1,215,0,15,200,40,160,0,40,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
4508,1,23,20,3,0,20,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4601,5,1203,600,357,246,680,166,600,80,0,166,0,0,0,70,2,0,15,24,0,8,94,9,0,0,0,0,17,0,0,12,19,87,0,0
4602,1,26,20,6,0,20,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
4603,1,57,32,25,0,32,0,32,0,0,0,0,0,0,2,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
9003,1,400,233,65,102,244,91,214,30,19,72,0,0,0,9,0,0,5,11,0,0,0,0,0,0,0,0,2,0,0,3,20,15,0,0
9101,1,46,40,6,0,40,0,40,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
